accelX,accelY,accelZ,timestamp
-130.650009,39,980.850037,104298
-124.800003,35.100002,976.950012,104302
-122.850006,31.200001,994.5,104306
-124.800003,31.200001,990.600037,104310
-124.800003,35.100002,986.700012,104314
-124.800003,29.25,982.800049,104318
-128.699997,31.200001,980.850037,104322
-132.600006,29.25,980.850037,104326
-130.650009,33.150002,980.850037,104330
-130.650009,33.150002,978.900024,104334
-130.650009,29.25,980.850037,104338
-126.75,31.200001,986.700012,104342
-134.550003,31.200001,984.75,104346
-132.600006,39,978.900024,104350
-126.75,27.300001,980.850037,104354
-124.800003,29.25,988.650024,104358
-128.699997,27.300001,984.75,104362
-126.75,29.25,982.800049,104366
-122.850006,31.200001,980.850037,104370
-118.950005,39,973.050049,104374
-124.800003,33.150002,973.050049,104378
-126.75,33.150002,980.850037,104382
-126.75,35.100002,984.75,104386
-124.800003,35.100002,984.75,104390
-122.850006,37.049999,988.650024,104394
-130.650009,39,982.800049,104398
-130.650009,27.300001,976.950012,104402
-128.699997,25.35,988.650024,104406
-120.900002,29.25,982.800049,104410
-124.800003,29.25,988.650024,104414
-130.650009,33.150002,986.700012,104418
-124.800003,35.100002,978.900024,104422
-124.800003,35.100002,976.950012,104426
-122.850006,35.100002,980.850037,104430
-118.950005,37.049999,984.75,104434
-126.75,27.300001,988.650024,104438
-128.699997,29.25,978.900024,104442
-124.800003,40.950001,980.850037,104446
-118.950005,35.100002,980.850037,104450
-124.800003,39,978.900024,104454
-128.699997,33.150002,982.800049,104458
-126.75,33.150002,982.800049,104462
-122.850006,39,984.75,104466
-126.75,29.25,984.75,104470
-122.850006,35.100002,990.600037,104474
-126.75,39,976.950012,104478
-126.75,31.200001,975,104482
-130.650009,35.100002,980.850037,104486
-128.699997,37.049999,984.75,104490
-136.5,39,982.800049,104494
-136.5,37.049999,978.900024,104498
-128.699997,40.950001,976.950012,104502
-126.75,37.049999,982.800049,104506
-130.650009,33.150002,980.850037,104510
-128.699997,29.25,980.850037,104514
-132.600006,29.25,978.900024,104518
-128.699997,33.150002,984.75,104522
-124.800003,35.100002,976.950012,104526
-122.850006,37.049999,978.900024,104530
-130.650009,40.950001,986.700012,104534
-128.699997,35.100002,980.850037,104538
-128.699997,27.300001,978.900024,104542
-128.699997,35.100002,986.700012,104546
-128.699997,27.300001,984.75,104550
-126.75,29.25,982.800049,104554
-124.800003,33.150002,982.800049,104558
-136.5,33.150002,975,104562
-132.600006,35.100002,978.900024,104566
-128.699997,35.100002,984.75,104570
-128.699997,37.049999,980.850037,104574
-130.650009,29.25,980.850037,104578
-128.699997,0,982.800049,104582
-120.900002,29.25,982.800049,104586
-126.75,33.150002,988.650024,104590
-124.800003,29.25,988.650024,104594
-124.800003,29.25,982.800049,104598
-124.800003,39,975,104602
-122.850006,31.200001,975,104606
-122.850006,29.25,978.900024,104610
-128.699997,40.950001,990.600037,104614
-130.650009,37.049999,990.600037,104618
-130.650009,35.100002,984.75,104622
-126.75,33.150002,978.900024,104626
-126.75,37.049999,978.900024,104630
-118.950005,29.25,975,104634
-115.050003,39,976.950012,104638
-120.900002,40.950001,984.75,104642
-126.75,37.049999,986.700012,104646
-130.650009,33.150002,984.75,104650
-134.550003,37.049999,976.950012,104654
-130.650009,35.100002,978.900024,104658
-126.75,35.100002,988.650024,104662
-126.75,33.150002,982.800049,104666
-122.850006,33.150002,986.700012,104670
-126.75,33.150002,982.800049,104674
-128.699997,33.150002,982.800049,104678
-130.650009,31.200001,990.600037,104682
-126.75,25.35,982.800049,104686
-130.650009,27.300001,982.800049,104690
-128.699997,27.300001,982.800049,104694
-126.75,31.200001,978.900024,104698
-124.800003,31.200001,976.950012,104702
-128.699997,29.25,980.850037,104706
-122.850006,27.300001,978.900024,104710
-124.800003,27.300001,978.900024,104714
-124.800003,37.049999,986.700012,104718
-128.699997,29.25,982.800049,104722
-122.850006,29.25,986.700012,104726
-126.75,29.25,982.800049,104730
-128.699997,35.100002,980.850037,104734
-130.650009,33.150002,984.75,104738
-126.75,31.200001,978.900024,104742
-124.800003,31.200001,978.900024,104746
-128.699997,35.100002,980.850037,104750
-130.650009,35.100002,978.900024,104754
-120.900002,37.049999,980.850037,104758
-128.699997,37.049999,986.700012,104762
-130.650009,33.150002,982.800049,104766
-130.650009,35.100002,975,104770
-128.699997,25.35,984.75,104774
-128.699997,29.25,980.850037,104778
-130.650009,35.100002,988.650024,104782
-124.800003,29.25,986.700012,104786
-128.699997,35.100002,986.700012,104790
-124.800003,25.35,984.75,104794
-126.75,33.150002,984.75,104798
-130.650009,33.150002,988.650024,104802
-126.75,35.100002,986.700012,104806
-126.75,25.35,982.800049,104810
-124.800003,31.200001,984.75,104814
-124.800003,31.200001,986.700012,104818
-128.699997,29.25,980.850037,104822
-130.650009,29.25,980.850037,104826
-126.75,33.150002,976.950012,104830
-124.800003,35.100002,980.850037,104834
-128.699997,37.049999,986.700012,104838
-126.75,39,978.900024,104842
-128.699997,35.100002,976.950012,104846
-126.75,31.200001,978.900024,104850
-132.600006,31.200001,976.950012,104854
-122.850006,29.25,980.850037,104858
-120.900002,35.100002,978.900024,104862
-124.800003,35.100002,986.700012,104866
-130.650009,35.100002,980.850037,104870
-130.650009,37.049999,980.850037,104874
-132.600006,37.049999,982.800049,104878
-134.550003,37.049999,982.800049,104882
-130.650009,33.150002,969.150024,104886
-130.650009,29.25,976.950012,104890
-124.800003,31.200001,980.850037,104894
-126.75,33.150002,976.950012,104898
-132.600006,35.100002,984.75,104902
-128.699997,37.049999,978.900024,104906
-126.75,35.100002,978.900024,104910
-130.650009,31.200001,976.950012,104914
-128.699997,39,980.850037,104918
-130.650009,35.100002,980.850037,104922
-126.75,37.049999,984.75,104926
-126.75,35.100002,973.050049,104930
-130.650009,29.25,982.800049,104934
-130.650009,29.25,986.700012,104938
-126.75,29.25,978.900024,104942
-120.900002,31.200001,980.850037,104946
-124.800003,31.200001,990.600037,104950
-128.699997,31.200001,988.650024,104954
-124.800003,31.200001,986.700012,104958
-124.800003,31.200001,986.700012,104962
-126.75,35.100002,980.850037,104966
-124.800003,31.200001,986.700012,104970
-130.650009,29.25,982.800049,104974
-126.75,33.150002,984.75,104978
-124.800003,35.100002,978.900024,104982
-122.850006,31.200001,978.900024,104986
-124.800003,25.35,980.850037,104990
-128.699997,23.400002,978.900024,104994
-124.800003,37.049999,976.950012,104998
-128.699997,33.150002,984.75,105002
-128.699997,31.200001,976.950012,105006
-128.699997,27.300001,984.75,105010
-132.600006,29.25,994.5,105014
-132.600006,37.049999,990.600037,105018
-130.650009,31.200001,990.600037,105022
-130.650009,35.100002,984.75,105026
-130.650009,31.200001,982.800049,105030
-126.75,35.100002,976.950012,105034
-126.75,33.150002,982.800049,105038
