accelX, accelY, accelZ, magX, magY, magZ, pressure, altitude, timestamp
23.400002, -787.800049, 592.799988, -13.500000, 400.500000, -562.500000, 970.920410, 358.475311, 110580
42.900002, -787.800049, 588.900024, -13.500000, 400.500000, -562.500000, 970.920410, 358.475311, 110591
27.300001, -791.700012, 592.799988, 1.500000, 402.000000, -562.500000, 970.920410, 358.475311, 110602
27.300001, -776.100037, 585.000000, 1.500000, 402.000000, -562.500000, 970.901123, 358.641846, 110613
31.200001, -799.500000, 581.100037, 1.500000, 402.000000, -562.500000, 970.901123, 358.641846, 110624
42.900002, -791.700012, 577.200012, 1.500000, 402.000000, -562.500000, 970.901123, 358.641846, 110635
35.100002, -787.800049, 596.700012, 1.500000, 402.000000, -562.500000, 970.901123, 358.641846, 110646
31.200001, -787.800049, 592.799988, 1.500000, 402.000000, -562.500000, 970.901123, 358.641846, 110657
35.100002, -791.700012, 581.100037, 1.500000, 402.000000, -562.500000, 970.850342, 358.679291, 110668
27.300001, -780.000000, 596.700012, 1.500000, 402.000000, -562.500000, 970.850342, 358.679291, 110679
35.100002, -795.600037, 581.100037, 1.500000, 402.000000, -562.500000, 970.850342, 358.679291, 110690
23.400002, -799.500000, 573.299988, -7.500000, 394.500000, -565.500000, 970.850342, 358.679291, 110701
23.400002, -791.700012, 581.100037, -7.500000, 394.500000, -565.500000, 970.850342, 358.679291, 110712
23.400002, -787.800049, 588.900024, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110723
23.400002, -795.600037, 588.900024, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110734
31.200001, -787.800049, 600.600037, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110745
23.400002, -776.100037, 600.600037, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110756
23.400002, -787.800049, 596.700012, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110767
31.200001, -787.800049, 596.700012, -7.500000, 394.500000, -565.500000, 970.843506, 358.589264, 110778
27.300001, -791.700012, 577.200012, -1.500000, 397.500000, -574.500000, 971.032471, 358.591339, 110789
31.200001, -780.000000, 596.700012, -1.500000, 397.500000, -574.500000, 971.032471, 358.591339, 110800
31.200001, -791.700012, 592.799988, -1.500000, 397.500000, -574.500000, 971.032471, 358.591339, 110811
42.900002, -799.500000, 596.700012, -1.500000, 397.500000, -574.500000, 971.032471, 358.591339, 110822
23.400002, -787.800049, 581.100037, -1.500000, 397.500000, -574.500000, 970.845703, 358.771423, 110833
39.000000, -780.000000, 596.700012, -1.500000, 397.500000, -574.500000, 970.845703, 358.771423, 110844
23.400002, -791.700012, 600.600037, -1.500000, 397.500000, -574.500000, 970.792480, 359.577606, 110855
27.300001, -791.700012, 585.000000, -1.500000, 397.500000, -574.500000, 970.792480, 359.577606, 110866
35.100002, -783.900024, 592.799988, -1.500000, 397.500000, -574.500000, 970.792480, 359.577606, 110877
31.200001, -791.700012, 596.700012, -1.500000, 397.500000, -574.500000, 970.847656, 359.102417, 110888
23.400002, -795.600037, 604.500000, -3.000000, 399.000000, -565.500000, 970.847656, 359.102417, 110899
27.300001, -783.900024, 588.900024, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110910
15.600000, -787.800049, 588.900024, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110921
23.400002, -795.600037, 577.200012, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110932
39.000000, -795.600037, 592.799988, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110943
35.100002, -787.800049, 581.100037, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110954
27.300001, -780.000000, 592.799988, -3.000000, 399.000000, -565.500000, 970.906982, 358.591339, 110965
31.200001, -799.500000, 596.700012, -3.000000, 399.000000, -565.500000, 970.875488, 359.291351, 110976
19.500000, -787.800049, 581.100037, -6.000000, 396.000000, -565.500000, 970.875488, 359.291351, 110987
